Year,Title,Platform(s),Developer(s)
2011,Duke Nukem: Critical Mass,Nintendo DS,Frontline Studios
2013,Rise of the Triad,Windows,Interceptor Entertainment
2016,Radical Heroes: Crimson City Crisis,,Mad Unicorn Games
2020,Crystal Caves HD,,Emberheart Games
2021,Residual,"Nintendo Switch, PlayStation 4, PlayStation 5, Windows, Xbox One, Xbox Series X/S",OrangePixel
,Secret Agent HD,Windows,Emberheart Games
,Monster Bash HD,,
2023,Bread & Fred,,SandCastles Studio
,Rise of the Triad: Ludicrous Edition,"Nintendo Switch, PlayStation 4, PlayStation 5, Windows, Xbox One, Xbox Series X/S","Nightdive Studios, New Blood Interactive"
,Turbo Overkill,Windows,Trigger Happy Interactive
TBA,,"Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",
,Below the Stone,"Nintendo Switch, PlayStation 4, PlayStation 5, Windows, Xbox One, Xbox Series X/S",Strollart
,Dead Fury,,Funder Studios
,Elements,,WreckIt Games
,Lucid,,The Matte Black Studio
,Exocide,,Hellforge Studios
,Vexlands,Windows,Apogee Entertainment
,Quest Master,,Skydevilpalm
,Wizordum,,Emberheart Games
,Littlelands,,Rafael Martin
