Year,Title
1978,The Little Brown Burro
1979,The New Misadventures of Ichabod Crane
1979,Tukiki and His Search for a Merry Christmas
1980,The Christmas Raccoons
1981,The Trolls and the Christmas Express
1981,The Raccoons on Ice
1983,The Care Bears in the Land Without Feelings
1983,The Legend of Hiawatha
1983,The Raccoons and the Lost Star
1984,The Care Bears Battle the Freeze Machine
1985,The Body Electric
1985,Rumpelstiltskin
1985,The Velveteen Rabbit
1985,For Better or For Worse: The Bestest Present
1986,The Tin Soldier
1986,Babar and Father Christmas
1987,The Nightingale
