Year,Title,Distributor,Producer,Director,Star(s),Academy Awards,,Notes
,,,,,,Wins,Nominations,
1952,Big Jim McLain,Warner Bros.,Robert Fellows,Edward Ludwig,John Wayne & Nancy Olson,,,Produced as Wayne/Fellows Productions
1953,Plunder of the Sun,Warner Bros.,Robert Fellows,John Farrow,Glenn Ford & Diana Lynn,,,Produced as Wayne/Fellows Productions
1953,Island in the Sky,Warner Bros.,Robert Fellows,William A. Wellman,John Wayne,,,Produced as Wayne/Fellows Productions
1953,Hondo,Warner Bros.,Robert Fellows & John Wayne,John Farrow,John Wayne & Geraldine Page,,Best Supporting Actress (Geraldine Page); Best Story (Louis L'Amour) (later withdrawn),Produced as Wayne/Fellows Productions; Filmed in 3D
1954,The High and the Mighty,Warner Bros.,Robert Fellows,William A. Wellman,John Wayne & Claire Trevor,Best Original Score (Dimitri Tiomkin),Best Supporting Actress (Jan Sterling); Best Supporting Actress (Claire Trevor); Best Director (William A. Wellman); Best Film Editing; Best Original Song (Dimitri Tiomkin & Ned Washington),Produced as Wayne/Fellows Productions; Filmed in CinemaScope; Won Golden Globe for Best Supporting Actress (Jan Sterling); Nominated for DGA Award for Outstanding Directing in Motion Pictures (William A. Wellman)
1954,Ring of Fear,Warner Bros.,Robert Fellows,James Edward Grant & William A. Wellman (uncredited),Pat O'Brien,,,Produced as Wayne/Fellows Productions; Filmed in CinemaScope
1954,Track of the Cat,Warner Bros.,Robert Fellows & John Wayne,William A. Wellman,Robert Mitchum & Teresa Wright,,,Produced as Wayne/Fellows Productions; Filmed in CinemaScope
1955,Blood Alley,Warner Bros.,John Wayne,William A. Wellman,John Wayne & Lauren Bacall,,,Filmed in CinemaScope
1956,"Good-bye, My Lady",Warner Bros.,John Wayne,William A. Wellman,Walter Brennan & Brandon deWilde,,,
1956,Seven Men from Now,Warner Bros.,Andrew V. McLaglen & Robert E. Morrison,Budd Boetticher,Randolph Scott & Gail Russell,,,
1956,Gun the Man Down,United Artists,Robert E. Morrison & John Wayne,Andrew V. McLaglen,James Arness & Angie Dickinson,,,
1956,Man in the Vault,RKO,Robert E. Morrison,Andrew V. McLaglen,"William Campbell, Karen Sharpe, & Anita Ekberg",,,
1957,Legend of the Lost,United Artists,Henry Hathaway,Henry Hathaway,John Wayne & Sophia Loren,,,Filmed in Technirama
1958,China Doll,United Artists,Frank Borzage & Robert E. Morrison,Frank Borzage,Victor Mature,,,Batjac co-produced with Victor Mature's Romina Productions.
1958,Escort West,United Artists,Nate H. Edwards & Robert E. Morrison,Francis D. Lyon,Victor Mature,,,Batjac co-produced with Victor Mature's Romina Productions.
1960,The Alamo,United Artists,John Wayne,John Wayne,"John Wayne, Richard Widmark & Laurence Harvey",Best Sound,Best Picture; Best Supporting Actor (Chill Wills); Best Color Cinematography (William H. Clothier); Best Film Editing; Best Original Song (Dimitri Tiomkin & Paul Francis Webster); Best Original Score (Dimitri Tiomkin),Filmed in Todd-AO; Won Golden Globe for Best Original Score (Dimitri Tiomkin)
1963,McLintock!,United Artists,Michael Wayne,Andrew V. McLaglen,John Wayne & Maureen O'Hara,,,
1966,Cast a Giant Shadow,United Artists,Melville Shavelson & Michael Wayne,Melville Shavelson,Kirk Douglas & Senta Berger,,,"Batjac co-produced with Melville Shavelson's production company, Llenroc ('Cornell' spelt backwards), and The Mirisch Corporation"
1967,The War Wagon,Universal,Marvin Schwartz,Burt Kennedy,John Wayne & Kirk Douglas,,,
1967,Hondo and the Apaches (TV Movie),MGM Television,Andrew J. Fenady,Lee H. Katzin,Ralph Taeger,,,"Two episodes from the TV series of the same name, edited together and released as a feature."
1967,Hondo (TV Series),ABC,Andrew J. Fenady,Lee H. Katzin (and others),Ralph Taeger,,,17 episodes
1968,The Green Berets,Warner Bros.,Michael Wayne,"John Wayne, Ray Kellogg & Mervyn LeRoy (uncredited)",John Wayne,,,
1970,Chisum,Warner Bros.,Michael Wayne,Andrew V. McLaglen,John Wayne,,,
1970,"Swing Out, Sweet Land (TV Special)",NBC,William O. Harbach (and others),Stan Harris,John Wayne,,,"Won Outstanding Achievement in Music Direction of a Variety, Musical or Dramatic Program (Dominic Frontiere) at the 23rd Primetime Emmy Awards"
1970,Rio Lobo,National General,Howard Hawks,Howard Hawks,John Wayne,,,
1971,Big Jake,National General,Michael Wayne,George Sherman,John Wayne & Richard Boone,,,
1973,The Train Robbers,Warner Bros.,Michael Wayne,Burt Kennedy,John Wayne & Ann-Margret,,,
1973,Cahill U.S. Marshal,Warner Bros.,Michael Wayne,Andrew V. McLaglen,John Wayne,,,
1974,McQ,Warner Bros.,Michael Wayne,John Sturges,John Wayne,,,Co-produced with Levy-Gardner-Laven
