Year,Film title,Director,Distributor
2007,Wind Chill,Gregory Jacobs,"TriStar Pictures, Sony Pictures Releasing"
2007,Becoming Jane,Julian Jarrold,"Buena Vista International, Miramax Films"
2008,In Bruges,Martin McDonagh,"Universal Studios, Focus Features"
2011,The Best Exotic Marigold Hotel,John Madden,Fox Searchlight Pictures
2012,Seven Psychopaths,Martin McDonagh,"CBS Films, Momentum Pictures"
2012,Now Is Good,Ol Parker,Warner Bros. Pictures
2014,The Riot Club,Lone Scherfig,"Universal Pictures, IFC Films"
2015,The Second Best Exotic Marigold Hotel,John Madden,Fox Searchlight Pictures
2017,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,Fox Searchlight Pictures
2017,The Mercy,James Marsh,StudioCanal
2018,The Guernsey Literary and Potato Peel Pie Society,Mike Newell,
2020,Emma.,Autumn de Wilde,Focus Features
2021,The Last Letter from Your Lover,Augustine Frizzell,"Netflix, StudioCanal"
,A Boy Called Christmas,Gil Kenan,
2022,The Banshees of Inisherin,Martin McDonagh,Searchlight Pictures
2023,All of Us Strangers,Andrew Haigh,
2024,The Beautiful Game,Thea Sharrock,Netflix
