Year,Game,Platform(s),Genre
2008,Wind Chaser,Windows,Strategy RPG
2009,Farm Fever,iOS,Puzzler
2009,Train your Brain with Dr.Kawashima,"Windows, Mac",Puzzler
2009,Wiesn Fever,iOS,Puzzler
2010,Memory (HD),iOS,Puzzler
2010,Warstory - Europe in Flames,Browser,Strategy MMO
2011,Demolition Dash,iOS,Runner
2011,Happy Hills,"iOS, Android",Physics Puzzler
2012,Towers & Dungeons,iOS,Towerbuilder
2012,Sara's Cooking Class,iOS,Cooking App
2012,Word Wonders,"iOS, Windows",Word Puzzle
2012,Skylancer,Browser,Strategy MMO
2012,Mission: Genesis,Browser,Strategy MMO
2013,Hoppetee!,iOS,Runner
2013,Happy Hills 2,iOS,Physics Puzzler
2014,John Woo's Bloodstroke,"iOS, Android",Action
2014,Angry Birds Epic,"iOS, Windows Phone, Android",RPG
2017,Angry Birds Evolution,"iOS, Android",RPG
