Total USD,Project name,Backers
"354,997",Kings of War[9],"1,568"
"728,985",Dreadball[10],"2,539"
"104,172",Loka (with Alessio Cavatore)[11],745
"1,216,482",Deadzone[12],"4,306"
"558,076",Mars Attacks[13],"2,753"
"575,755",Dreadball Xtreme[14],"2,482"
"1,057,975",Dungeon Saga[15],"5,963"
"366,547",Kings of War: Second Edition[16],"2,747"
"380,554",Deadzone: Infection[17],"2,81"
"484,917",Warpath[18],"3,355"
"272,409",Kings of War: Vanguard,"2,231"
"1,823,571",Hellboy: The Board Game[19],"12,716"
"466,127",Hellboy: The Roleplaying Game[20],"6,071"
"296,147",TerrainCrate 2: Crate Expectations,"2,666"
"174,728",League of Infamy,"1,556"
"427,654",Hellboy: The Board Game Expansions and Dice Game,"4,988"
"106,343",TerrainCrate 3: Bring The Background To The Foreground,"1,046"
"504,06",Dungeon Saga Origins – The Game of Classic Fantasy Adventure,"4,021"
"673,833",Worms: The Board Game,"5,849"
