Release date,Film title,Leading role(s)
1992,Eli's Lesson,Jack Palance and Kenneth Welsh
1995,Decoy,Peter Weller and Robert Patrick
1997,The Lost Daughter,Richard Chamberlain
1999,Held Up,Jamie Foxx and Nia Long
2001,The Unsaid,Andy Garcia
2003,One Last Dance,Patrick Swayze and Lisa Niemi
,Falling Angels,Callum Keith Rennie
2004,Intern Academy,"Dave Thomas, Dan Aykroyd and Dave Foley"
2009,Walled In,Mischa Barton
,Grace,Jordan Ladd
,The Shortcut,"Andrew Seeley, Shannon Woodward and Katrina Bowden"
,Dolan's Cadillac,"Christian Slater, Emmanuelle Vaugier and Wes Bentley"
2010,Ticket Out,Ray Liotta
,Lullaby for Pi,"Rupert Friend, Clémence Poésy and Forest Whitaker"
2011,Faces in the Crowd,"Milla Jovovich, Julian McMahon, Michael Shanks and Sarah Wayne Callies"
2012,The Tall Man,"Jessica Biel, Jodelle Ferland and Stephen McHattie"
,13 Eerie,"Katharine Isabelle, Brendan Fehr and Michael Shanks"
2013,Stranded,"Christian Slater, Brendan Fehr, Amy Matysio and Michael Therriault"
2015,Forsaken,Kiefer Sutherland and Donald Sutherland
2017,The Recall,Wesley Snipes
,The Humanity Bureau,Nicolas Cage
2018,Distorted,Christina Ricci and John Cusack
2019,Daughter of the Wolf,Gina Carano and Richard Dreyfuss
,A Score to Settle,Nicolas Cage and Benjamin Bratt
2020,Endless,"Alexandra Shipp, Famke Janssen and Nicholas Hamilton"
,The Day of the Lord,Dolores Heredia and Ximena Romo
2021,Dangerous,"Scott Eastwood, Kevin Durand, Tyrese Gibson, Famke Janssen and Mel Gibson"
