Game title,Platform(s),Published by,Released
Geon: Emotions,Xbox Live Arcade,Eidos Interactive,"September 19, 2007"
Geon,PlayStation 3,Eidos Interactive,"September 25, 2008"
Turbo Duck,iPhone,Strawdog Studios,"April 1, 2009"
Geon Cube,Wii,UFO Interactive Games,"November, 2009"
Geon HD,iPad,"Strawdog Studios, Chillingo",April 2010
Space Ark,"Xbox 360, PC",Strawdog Studios,"June, 2010"
Geon,iPhone,"Strawdog Studios, Chillingo",August 2010
Peppa Pig: Happy Mrs Chicken,iPhone,P2 Games,"September, 2010"
Peppa Pig: Polly Parrot,iPhone,P2 Games,"October, 2010"
Peppa Pig: Theme Park Fun':,Nintendo DS,P2 Games,"March, 2011"
Peppa Pig: Peppa's Party Time,iOS,P2 Games,"May, 2011"
Peppa Pig: Happy Mrs Chicken,Symbian,P2 Games,"August, 2010"
Fireman Sam: Junior Cadet,iOS,P2 Games,"November, 2011"
