Year,Film,Director,Cast
1970,Johny Mera Naam,Vijay Anand,"Dev Anand, Hema Malini, Pran, Prem Nath"
1973,Joshila,Yash Chopra,"Dev Anand, Hema Malini, Pran"
1975,Deewaar,,"Amitabh Bachchan, Shashi Kapoor, Neetu Singh, Parveen Babi, Nirupa Roy"
1978,Trishul,,"Sanjeev Kumar, Amitabh Bachchan, Shashi Kapoor, Raakhee, Hema Malini, Sachin, Poonam Dhillon"
1982,Vidhaata,Subhash Ghai,"Dilip Kumar, Shammi Kapoor, Sanjeev Kumar, Sanjay Dutt, Padmini Kolhapure"
1985,Yudh,Rajiv Rai,"Jackie Shroff, Anil Kapoor, Tina Munim, Nutan, Danny Denzongpa"
1989,Tridev,,"Naseeruddin Shah, Sunny Deol, Jackie Shroff, Madhuri Dixit, Sangeeta Bijlani, Sonam, Amrish Puri"
1992,Vishwatma,,"Naseeruddin Shah, Sunny Deol, Chunky Pandey, Divya Bharti, Sonam, Amrish Puri"
1994,Mohra,,"Akshay Kumar, Raveena Tandon, Sunil Shetty, Naseeruddin Shah"
1997,Gupt,,"Bobby Deol, Manisha Koirala, Kajol"
2001,Pyaar Ishq Aur Mohabbat,,"Arjun Rampal, Sunil Shetty, Aftab Shivdasani, Kirti Reddy, Isha Koppikar, Monica Bedi"
2004,Asambhav,,"Arjun Rampal, Priyanka Chopra, Naseeruddin Shah, Dipannita Sharma"
2023,Zora (Filming),,"Ravinder Kuhar, Sofia Parveen"
2023,Zora Zoravar (Filming),,"Ravinder Kuhar, Sofia Parveen"
